"","ID","Baylor.subtype","UNC.subtype","CIT.subtype","Lund.subtype","MDA.subtype","TCGA.subtype"
"1","CH_B_001b","Basal","Basal","MC7","Ba/Sq-Inf","luminal","Basal_squamous"
"2","CH_B_002b","Basal","Basal","MC7","Ba/Sq","luminal","Luminal"
"3","CH_B_003b","Differentiated","Luminal","MC2","UroA-Prog","luminal","Luminal_papillary"
"4","CH_B_004b","Differentiated","Luminal","MC1","UroA-Prog","luminal","Luminal_papillary"
"5","CH_B_006b","Basal","Luminal","MC1","UroA-Prog","luminal","Luminal_papillary"
"6","CH_B_008b","Differentiated","Luminal","MC2","UroC","luminal","Luminal_infiltrated"
"7","CH_B_009b","Differentiated","Luminal","MC3","GU","luminal","Luminal_papillary"
"8","CH_B_010a","Basal","Basal","MC7","Ba/Sq","luminal","Basal_squamous"
"9","CH_B_011a","Differentiated","Luminal","MC1","UroA-Prog","luminal","Luminal_papillary"
"10","CH_B_013a","Differentiated","Luminal","MC2","GU","luminal","Luminal_papillary"
"11","CH_B_016a","Basal","Basal","MC7","Ba/Sq-Inf","luminal","Basal_squamous"
"12","CH_B_019a","Differentiated","Luminal","MC2","UroC","luminal","Luminal_papillary"
"13","CH_B_020a","Differentiated","Luminal","MC2","GU","luminal","Luminal_infiltrated"
"14","CH_B_022a","Differentiated","Luminal","MC1","UroA-Prog","luminal","Luminal_papillary"
"15","CH_B_023a","Basal","Basal","MC7","UroB","luminal","Luminal_infiltrated"
"16","CH_B_025a","Differentiated","Luminal","MC1","UroA-Prog","luminal","Luminal_papillary"
"17","CH_B_027a","Differentiated","Luminal","MC3","UroC","luminal","Luminal_papillary"
"18","CH_B_029a","Basal","Basal","MC4","Mes-like","luminal","Luminal_infiltrated"
"19","CH_B_030a","Basal","Basal","MC7","Ba/Sq","luminal","Basal_squamous"
"20","CH_B_031a","Basal","Basal","MC4","Uro-Inf","luminal","Luminal_infiltrated"
"21","CH_B_032a","Differentiated","Luminal","MC4","GU","luminal","Luminal_infiltrated"
"22","CH_B_033a","Basal","Basal","MC7","Ba/Sq","basal","Basal_squamous"
"23","CH_B_034a","Basal","Basal","MC4","Mes-like","luminal","Luminal_infiltrated"
"24","CH_B_035a","Differentiated","Luminal","MC5","GU","luminal","Luminal_infiltrated"
"25","CH_B_036a","Differentiated","Luminal","MC5","UroA-Prog","luminal","Luminal"
"26","CH_B_037a","Basal","Luminal","MC4","UroA-Prog","p53-like","Luminal_infiltrated"
"27","CH_B_039a","Basal","Basal","MC7","Ba/Sq","luminal","Basal_squamous"
"28","CH_B_041a","Basal","Basal","MC7","Mes-like","luminal","Basal_squamous"
"29","CH_B_044a","Basal","Basal","MC4","UroC","luminal","Luminal_infiltrated"
"30","CH_B_045a","Differentiated","Basal","MC4","Uro-Inf","luminal","Luminal_infiltrated"
"31","CH_B_046a","Differentiated","Luminal","MC5","UroA-Prog","luminal","Luminal_infiltrated"
"32","CH_B_047a","Basal","Luminal","MC4","UroA-Prog","luminal","Luminal_infiltrated"
"33","CH_B_050a","Basal","Basal","MC7","Ba/Sq","luminal","Basal_squamous"
"34","CH_B_052a","Basal","Basal","MC4","Mes-like","luminal","Basal_squamous"
"35","CH_B_053a","Differentiated","Luminal","MC5","UroC","luminal","Luminal_infiltrated"
"36","CH_B_054a","Basal","Basal","MC7","Ba/Sq-Inf","luminal","Basal_squamous"
"37","CH_B_055a","Basal","Basal","MC7","Ba/Sq","luminal","Basal_squamous"
"38","CH_B_056a","Basal","Basal","MC4","Mes-like","luminal","Basal_squamous"
"39","CH_B_057a","Differentiated","Basal","MC4","GU-Inf","luminal","Luminal_infiltrated"
"40","CH_B_058a","Basal","Basal","MC4","Ba/Sq-Inf","luminal","Basal_squamous"
"41","CH_B_059a","Basal","Basal","MC4","UroB","luminal","Luminal_infiltrated"
"42","CH_B_060a","Basal","Basal","MC7","Ba/Sq-Inf","luminal","Basal_squamous"
"43","CH_B_062a","Basal","Basal","MC4","UroA-Prog","luminal","Luminal_infiltrated"
"44","CH_B_063a","Basal","Basal","MC7","Ba/Sq-Inf","luminal","Basal_squamous"
"45","CH_B_064a","Basal","Basal","MC7","Ba/Sq","luminal","Basal_squamous"
"46","CH_B_066a","Differentiated","Basal","MC4","GU-Inf","luminal","Luminal_infiltrated"
"47","CH_B_067a","Differentiated","Luminal","MC5","UroC","luminal","Luminal_infiltrated"
"48","CH_B_068a","Differentiated","Basal","MC4","UroA-Prog","luminal","Luminal_infiltrated"
"49","CH_B_069a","Differentiated","Basal","MC4","GU","luminal","Luminal_infiltrated"
"50","CH_B_070a","Basal","Basal","MC4","Ba/Sq-Inf","luminal","Basal_squamous"
"51","CH_B_071a","Differentiated","Luminal","MC4","GU","luminal","Luminal_infiltrated"
"52","CH_B_072a","Basal","Basal","MC7","Ba/Sq-Inf","luminal","Basal_squamous"
"53","CH_B_073a","Differentiated","Basal","MC7","GU-Inf","luminal","Luminal_infiltrated"
"54","CH_B_074a","Basal","Basal","MC4","UroB","luminal","Luminal_infiltrated"
"55","CH_B_075a","Basal","Basal","MC4","Ba/Sq-Inf","luminal","Basal_squamous"
"56","CH_B_076a","Differentiated","Luminal","MC4","UroA-Prog","p53-like","Luminal_infiltrated"
"57","CH_B_077a","Basal","Basal","MC7","Ba/Sq","basal","Basal_squamous"
"58","CH_B_078a","Basal","Basal","MC4","UroB","luminal","Luminal_infiltrated"
"59","CH_B_079a","Differentiated","Luminal","MC5","UroA-Prog","luminal","Luminal_infiltrated"
"60","CH_B_080a","Basal","Basal","MC4","Mes-like","luminal","Basal_squamous"
"61","CH_B_082a","Basal","Basal","MC5","UroA-Prog","luminal","Luminal_infiltrated"
"62","CH_B_083a","Differentiated","Luminal","MC2","UroC","luminal","Luminal"
"63","CH_B_084a","Basal","Basal","MC4","Ba/Sq-Inf","luminal","Luminal_infiltrated"
"64","CH_B_085a","Basal","Basal","MC7","Ba/Sq-Inf","luminal","Basal_squamous"
"65","CH_B_086a","Basal","Basal","MC4","Ba/Sq-Inf","luminal","Basal_squamous"
"66","CH_B_087a","Differentiated","Basal","MC4","UroC","luminal","Luminal_infiltrated"
"67","CH_B_088a","Differentiated","Basal","MC4","GU-Inf","luminal","Luminal_infiltrated"
"68","CH_B_090a","Basal","Basal","MC7","Ba/Sq","luminal","Basal_squamous"
"69","CH_B_092a","Basal","Basal","MC7","Ba/Sq","basal","Basal_squamous"
"70","CH_B_093a","Basal","Basal","MC4","Mes-like","luminal","Basal_squamous"
"71","CH_B_094a","Basal","Basal","MC7","Ba/Sq","luminal","Basal_squamous"
"72","CH_B_095a","Differentiated","Basal","MC4","GU-Inf","luminal","Luminal_infiltrated"
"73","CH_B_096a","Differentiated","Luminal","MC4","GU","luminal","Luminal_infiltrated"
"74","CH_B_097a","Basal","Basal","MC4","Mes-like","luminal","Luminal_infiltrated"
